store_id,name,address,city,region,latitude,longitude,banner,click_and_collect,delivery
3bb30799-82ce-4648-8c02-5113228963ed,PAK'nSAVE Te Awamutu,"670 Cambridge Road, Te Awamutu, 3800",Te Awamutu,NI,-38.008101,175.340102,PNS,True,False
50b1216b-d066-4457-b88b-9bccf97bf6d3,PAK'nSAVE Whakatane,"45 King Street, Whakatane, 3120",Whakatane,NI,-37.961198,176.98257,PNS,True,False
b92cc33f-b5a8-4b57-9b82-412946800020,PAK'nSAVE Taupo,"105-131 Ruapehu Street, Taupo, 3330",Taupo,NI,-38.685532,176.073247,PNS,True,False
6c73764e-b8e6-4e55-ad37-f6a9d207da1f,PAK'nSAVE Alderman Dr Henderson,"8-18 Alderman Drive, Henderson, Auckland, 0612",Auckland,NI,-36.87743,174.63292,PNS,True,False
21ecaaed-0749-4492-985e-4bb7ba43d59c,Pak'n Save Kilbirnie,"76 Rongotai Road, Kilbirnie, Wellington, 6003",Wellington,NI,-41.319324,174.79672,PNS,True,False
e1925ea7-01bc-4358-ae7c-c6502da5ab12,PAK'nSAVE Royal Oak,"691 Manukau Road, Royal Oak, Auckland, 1023",Auckland,NI,-36.91014,174.77342,PNS,True,False
3c5e3145-0767-4066-9349-6c0a1313acc5,PAK'nSAVE Kaitaia,"111 North Road, Kaitaia, 0410",Kaitaia,NI,-35.09945,173.258322,PNS,True,False
714431ab-6e39-4df6-ac77-cfc5c1e25bc8,PAK'nSAVE Cameron Road,"476 Cameron Road, Tauranga, 3110",Tauranga,NI,-37.696716,176.161533,PNS,True,False
3bfe040b-f0c9-45e0-949b-b9ad5a591d55,PAK'nSAVE Papamoa,"42 Domain Road, Papamoa Beach, Papamoa, 3118",Papamoa,NI,-37.70191,176.283687,PNS,True,False
9cd8eb60-3222-4efc-bd7c-50e03e6a81a4,PAK'nSAVE Manukau,"6 Cavendish Drive, Manukau City, Auckland, 2104",Auckland,NI,-36.987929,174.880604,PNS,True,False
529d66cc-60e3-432e-b8d1-efc9f2ec4919,PAK'nSAVE Whangarei,"104 Walton Street, Whangarei, 0110",Whangarei,NI,-35.725958,174.32475,PNS,True,False
5f167936-79ae-4f6a-b9d2-74afe1bb096b,PAK'nSAVE Ormiston,"1 Bellingham Road, Flat Bush, Auckland, 2019",Auckland,NI,-36.965078,174.914819,PNS,True,False
60561e46-ece7-43a7-b142-9b14812586e4,PAK'nSAVE Botany,"501 Ti Rakau Drive, Northpark, Auckland, 2013",Auckland,NI,-36.930652,174.913004,PNS,True,False
6e6809dd-01bc-45c9-aab1-f01ccd8338b0,PAK'nSAVE Thames,"100 Mary Street, Thames, 3500",Thames,NI,-37.138597,175.538994,PNS,True,False
