store_id,name,address,city,region,latitude,longitude,banner,click_and_collect,delivery
ef977d89-f3d8-4e8b-8a48-b895ded38646,New World Papakura,"29-31 East Street, Auckland, 2110",Auckland,NI,-37.064268,174.941101,MNW,True,True
f95243ac-bfc9-483a-b10a-b681f4fc4ba2,New World Te Puke,"12 Jocelyn Street, Te Puke, 3119",Te Puke,NI,-37.783124,176.328028,MNW,True,True
edc986dd-a28c-4fbe-899d-5680d51f584d,New World Brookfield,"89 Bellevue Road, Otumoetai, Tauranga, 3110",Tauranga,NI,-37.688946,176.1347,MNW,True,True
07828d6b-4c90-430e-8ea9-37c671d375e9,New World Rototuna,"Cnr Thomas & Horsham Downs Rds, Hamilton, 3210",Hamilton,NI,-37.728271,175.273985,MNW,True,True
3e66e1a7-bf5c-4f39-9638-c3f57e5c3889,New World Gate Pa,"948 Cameron Road, Gate Pa, Tauranga, 3112",Tauranga,NI,-37.713787,176.142697,MNW,True,True
de5595ab-1d28-46c6-9e9a-b1c3db1af827,New World Mount Maunganui,"Cnr Tweed St & Maunganui Rd, Mount Maunganui, 3116",Mount Maunganui,NI,-37.653862,176.198938,MNW,True,True
1fa53d02-1ed5-4dd5-b0ac-fd280425c19a,New World Masterton,"11 Bruce Street, Masterton, 5810",Masterton,NI,-40.948688,175.665517,MNW,True,True
64c24e04-516d-40b3-958c-96b15797684a,New World Glenview,"Unit 1/220 Ohaupo Road, Glenview, Hamilton, 3206",Hamilton,NI,-37.822527,175.287416,MNW,True,True
ff680fec-3a34-4666-99ed-ab1a9d1c6ba0,New World Newtown,"195 Riddiford Street, Wellington, 6021",Wellington,NI,-41.314466,174.780574,MNW,True,True
24be83cd-b9f2-47f0-8895-82867e3d4f08,New World Whanganui,"374 Victoria Avenue, Whanganui, 4500",Whanganui,NI,-39.926194,175.041161,MNW,True,True
36fb31df-6b41-4a10-ac9a-db831f4f5f47,New World Te Rapa,"751 Te Rapa Road, Te Rapa, Hamilton, 3200",Hamilton,NI,-37.753024,175.239998,MNW,True,True
b6d36090-c7f4-4ff3-9343-5b48159f8f6d,New World Green Bay,"64 Godley Road, Green Bay, Auckland, 0604",Auckland,NI,-36.93074,174.679184,MNW,False,True
79b03f4b-5e2b-437c-83f8-54d9dace4999,New World Turangi,"19 Ohuanga Street, Turangi, 3334",Turangi,NI,-38.991014,175.809118,MNW,True,True
bc0ebd13-e131-4efd-a226-415c40ce8c4e,New World Ormiston,"240 Ormiston Road, Ormiston, Auckland, 2019",Auckland,NI,-36.9647262,174.912703,MNW,True,True
7508cf88-9fd0-4e71-b2f2-d564b1decf8d,New World Whangaparaoa,"580 Whangaparaoa Road, Stanmore Bay, Whangaparaoa, 0932",Whangaparaoa,NI,-36.628789,174.732596,MNW,True,True
4664daab-1897-4e69-9117-067b4afd41bb,New World Onerahi,"128 Onerahi Road, Whangarei, 0110",Whangarei,NI,-35.755737,174.367937,MNW,True,True
d48eba45-0c1c-4f5d-b836-0ed54b45c99c,New World Kerikeri,"99 Kerikeri Road, Kerikeri, 0230",Kerikeri,NI,-35.2267,173.951368,MNW,True,True
f5da324f-f415-4c8d-a360-ea8d2c74d49b,New World Whitby,"Discovery Drive, Whitby Village Centre, Porirua, 5024",Porirua,NI,-41.117024,174.893023,MNW,True,True
6b9af900-3f25-4fdb-8418-b43a596aee48,New World Kaikohe,"14 Marino Place, Kaikohe, 0405",Kaikohe,NI,-35.408951,173.801012,MNW,True,True
dbdfdd2a-55f7-4870-9b51-979286323647,New World Browns Bay,"2 Inverness Road, Browns Bay, Auckland, 0630",Auckland,NI,-36.715961,174.747287,MNW,True,True
403b1c6f-121c-4945-8aa8-fa53a7e59133,New World Hobsonville,"120 Hobsonville Road, Hobsonville, Auckland, 0618",Auckland,NI,-36.79915,174.64505,MNW,True,True
b012c209-9dfe-48c2-940c-acf73afebed4,New World Warkworth,"6 Percy Street, Warkworth, 0910",Warkworth,NI,-36.398709,174.666795,MNW,True,True
60928d93-06fa-4d8f-92a6-8c359e7e846d,New World Metro Queen St,"125 Queen Street, Auckland Central, Auckland, 1010",Auckland,NI,-36.846405,174.765935,MNW,True,True
91b26327-b240-4778-a3d8-190dfc8c16f3,New World Nelson City,"Cnr Vanguard and Gloucester Street, Nelson South, Nelson, 7010",Nelson,SI,-41.2757,173.2781,MNW,True,True
c570bb70-c783-4692-aee1-6a1b235f9476,New World Papatoetoe,"65 St Georges Street, Papatoetoe, Auckland, 2025",Auckland,NI,-36.9802,174.853287,MNW,True,True
4ff026b8-a60d-4383-8f0c-6c85f5623afa,New World Milford,"141 Kitchener Road, Milford, Auckland, 0620",Auckland,NI,-36.772298,174.764805,MNW,True,True
adcd3dee-0ead-4b84-944a-809b95e0e36b,New World Southmall,"187 Great South Road, Manurewa, Auckland, 2102",Auckland,NI,-37.02246,174.89719,MNW,True,True
0f82d3fe-acd0-4e98-b3e7-fbabbf8b8ef5,New World Orewa,"11 Moana Avenue, Orewa, 0931",Orewa,NI,-36.586612,174.69366,MNW,True,True
0870db3b-2e91-43b7-89aa-ce3c031b3856,New World Greenmeadows,"9 Gloucester Street, Greenmeadows, Napier, 4112",Napier,NI,-39.525324,176.862409,MNW,True,True
d83b5f5e-db6e-4696-823e-5940493ef41c,New World Temuka,"185 King Street, Temuka, Temuka, 7920",Temuka,SI,-44.2413,171.2763,MNW,True,True
5c3070dd-312f-4755-a92c-7607b2a694e4,New World Winton,"293 Great North Road, Winton, Winton, 9720",Winton,SI,-46.1417,168.3256,MNW,True,True
3ca6692b-e2a3-4d51-95b6-d061b9541e6c,New World Mt Roskill,"53 May Road, Mt Roskill, Auckland, 1041",Auckland,NI,-36.908622,174.734362,MNW,True,True
51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,"42 Nuffield Street, Newmarket, Auckland, 1023",Auckland,NI,-36.8709201,174.778261,MNW,True,True
513fc849-3dbe-4333-a148-4edee5baef67,New World Devonport,"35 Bartley Terrace, Devonport, Auckland, 0624",Auckland,NI,-36.82951,174.796193,MNW,True,True
91e4dddd-aed7-4ccc-ad0b-dfe25805a495,New World Remuera,"10 Clonbern Road, Remuera, Auckland, 1050",Auckland,NI,-36.88171,174.79751,MNW,False,True
1926eed9-3d44-4339-9f6e-23c96becab07,New World Porirua,"2 Walton Leigh Avenue, Porirua City Centre, Porirua, 5022",Porirua,NI,-41.136386,174.841919,MNW,True,True
b42476bd-bded-4c80-827e-e1d587096f54,New World Ngaruawahia,"7 Galileo Street, Ngaruawahia, 3720",Ngaruawahia,NI,-37.667256,175.150107,MNW,True,True
f54433e6-5c6c-41b9-a5e2-d7502f454da8,New World Kapiti,"159 Kapiti Road, Paraparaumu, 5032",Paraparaumu,NI,-40.905625,174.994131,MNW,True,True
2fe74bf7-5123-4faa-8fcb-97db954a714d,New World Waihi,"35 Kenny Street, Waihi, 3610",Waihi,NI,-37.393116,175.839644,MNW,True,True
63190876-2bd4-4562-ae34-bb5caebab4f9,New World Birkenhead,"180 Mokoia Road, Chatswood, Auckland, 0626",Auckland,NI,-36.811428,174.711486,MNW,True,True
01076456-6c8a-42c3-a647-2e70a94c4e6c,New World Morrinsville,"89 Thames Street, Morrinsville, 3300",Morrinsville,NI,-37.659507,175.522299,MNW,True,True
04de234b-9f3e-4388-9662-7a4c8d7180c8,New World Merrilands,"200 Mangorei Road, Merrilands, New Plymouth, 4312",New Plymouth,NI,-39.06659,174.102988,MNW,True,True
517424bd-8840-49e7-8206-58f4da24b1d7,New World Taumarunui,"10 Hakiaha Street, Taumarunui, 3920",Taumarunui,NI,-38.8829294,175.2579086,MNW,True,True
4db31fed-1e21-4884-82a5-cfaa178af8ac,New World Cambridge,"14 Anzac Street, Cambridge, 3434",Cambridge,NI,-37.893425,175.472202,MNW,True,True
8d2ceac4-9520-4b8e-82bb-7867873580da,New World Broadway,"Broadway Avenue, Palmerston North, 4414",Palmerston North,NI,-40.348551,175.623806,MNW,True,True
c8998066-d39b-401c-aa6b-d6d18f8d122f,New World New Lynn,"2-6 Crown Lynn Place, New Lynn, Auckland, 0600",Auckland,NI,-36.910865,174.685569,MNW,True,True
c3a42e9d-ac58-4abf-be43-17920c720540,New World Stonefields,"100 Lunn Avenue, Mt Wellington, Auckland, 1072",Auckland,NI,-36.890274,174.831971,MNW,True,True
b525d98f-8df5-415f-837e-abb793821e1e,New World Stokes Valley,"14 Oates Street, Stokes Valley, Lower Hutt, 5019",Lower Hutt,NI,-41.174103,174.980844,MNW,True,True
bbe5aa58-69dd-4b29-abe6-58670234b3b7,New World Tawa,"37 Oxford Street, Tawa, Wellington, 5028",Wellington,NI,-41.169962,174.82611,MNW,True,True
491d26a4-78fd-4c6e-85e9-5b67fd97e2cc,New World Eastridge,"209 Kepa Road, Mission Bay, Auckland, 1071",Auckland,NI,-36.861179,174.82901,MNW,True,True
